Exp1,Exp2,Exp3
15.425396469,22.6052769747,13.7733000077
-4.7316013592,22.0643634542,22.9659543049
29.7179264098,84.5671290006,68.3189752266
66.7978668357,132.3085868056,110.0298166546
103.9987016446,171.4178070002,148.6856003578
136.4100436184,208.2290192261,186.486192529
169.4901694362,241.9424088168,215.3262934765
210.588899822,277.7611299484,253.1024125223
244.302884768,319.1388007175,293.0166446401
279.7170118033,354.5077363591,337.3134940445
310.5684374465,380.7040600401,367.6962867767
345.3580428665,408.2158639995,407.5625044318
403.4261654796,452.3280751994,464.1367819715
458.0040568565,507.2070215737,542.5460708489
508.2488472051,557.9497981162,600.862117115
578.2673029449,622.6130846496,666.1254677327
626.1319694411,699.2299683825,737.3590376381
684.8921396275,759.8197641842,825.575777106
755.5813069366,814.3937472331,909.7830049268
803.2222293979,887.9584994865,964.9848572823
855.8303705771,958.5178632042,1007.1836717174
911.4162376171,1006.0740813296,1103.3807692854
957.9869698837,1128.6284631955,1162.5768965734
1024.5474184144,1168.1817731332,1237.772475512
1101.1008793793,1202.7344573259,1318.9677445534
1139.6495924515,1260.286776236,1412.1628384578
1183.1950794379,1309.83888191,1494.3578333842
1229.7383743722,1399.3908631062,1564.5527723738
1292.2801798566,1553.9427716375,1631.7476797508
1388.8209732936,1627.4946377504,1688.9425692621
1418.3610790672,1682.0464791011,1729.1374486767
1492.9007175892,1808.5983059968,1818.3323223852
1627.4400386242,1859.1501244543,1867.527192869
1654.979143934,1887.701937986,2109.7220615302
1712.5181026635,1948.2537486421,2141.9169291615
1758.0569617949,1981.8055576197,2190.1117962108
1805.5957532517,2026.3573656173,2231.306662931
1908.1344987251,2121.909173043,2318.5015294654
2001.6732129539,2164.4609801347,2361.6963958947
2026.2119059526,2260.0127870315,2402.8912622646
2054.750584526,2305.5645938145,2462.0861286009
2098.2892532976,2377.1164005311,2525.2809949183
2136.8279154093,2421.6682072089,2576.475861225
2159.3665729957,2482.220013864,2633.6707275256
2210.9052275071,2572.771820506,2676.8655938228
2257.4438799293,2606.3236271402,2730.0604601181
2287.9825309318,2652.87543377,2856.2553264122
2337.5211809698,2719.4272403971,3040.4501927058
2370.0598303523,2798.9790470227,3129.645058999
2420.5984792894,3017.5308536473,3159.839925292
2443.137127924,3069.0826602715,3241.0347915849
2516.6757763529,3112.6344668953,3399.2296578777
2543.2144246421,3197.186273519,3462.4245241705
2569.7530728364,3332.7380801426,3495.6193904633
2620.2917209662,3367.2898867661,3562.814256756
2817.8303690522,3472.8416933896,3613.0091230488
2891.3690171084,3515.393500013,3656.2039893415
2989.9076651443,3575.9453066365,3693.3988556343
3044.4463131665,3612.4971132599,3732.593721927
3121.9849611794,3677.0489198833,4119.7885882198
3258.5236091859,3716.6007265067,4166.9834545125
3264.0622571881,3953.1525331302,4307.1783208052
3307.6009051874,4081.7043397536,4333.373187098
3309.1395531846,4131.256146377,4366.5680533907
3317.6782011806,4194.8079530004,4430.7629196835
3566.2168491756,4224.3597596239,4483.9577859762
3600.7554971699,4293.9115662473,4534.152652269
3662.2941451639,4354.4633728707,4568.3475185617
3681.8327931576,4391.0151794941,5051.5423848545
3713.371441151,4543.5669861176,5150.7372511472
3737.9100891444,4576.118792741,5173.9321174399
3756.4487371376,4608.6705993644,5188.1269837327
4173.9873851308,4638.2224059878,5226.3218500254
4189.5260331239,4674.7742126113,5234.5167163182
4197.0646811171,4707.3260192347,5283.7115826109
4194.6033291102,4754.8778258581,5358.9064489037
4203.1419771032,4809.4296324815,5387.1013151964
4255.6806250963,4894.9814391049,5484.2961814892
4258.2192730894,4918.5332457284,5515.4910477819
4279.7579210824,4946.0850523518,5529.6859140746
4321.2965690755,4981.6368589752,5612.8807803674
4368.8352170686,5071.1886655986,6062.0756466601
4391.3738650616,5139.7404722221,6058.2705129529
4409.9125130547,5184.2922788455,6731.4653792456
4431.4511610477,5682.8440854689,6699.6602455384
4472.9898090408,5846.3958920923,6670.8551118311
4486.5284570339,5971.9476987158,6646.0499781238
4523.0671050269,5968.4995053392,6652.2448444166
4508.60575302,6005.0513119626,6678.4397107093
4525.144401013,6015.603118586,6705.6345770021
4570.6830490061,6032.1549252094,6694.8294432948
4584.2216969991,6064.7067318329,6733.0243095876
4620.7603449922,6072.2585384563,6755.2191758803
4661.2989929852,6082.8103450797,6750.4140421731
5174.8376409783,6114.3621517031,6776.6089084658
5963.3762889713,6247.9139583266,6798.8037747585
5911.9149369644,6259.46576495,6802.9986410513
5860.4535849575,6272.0175715734,6810.193507344
5877.9922329505,6357.5693781968,6843.3883736368
5850.5308809436,6357.1211848203,6845.5832399295
6745.0695289366,6375.6729914437,6847.7781062223
6986.6081769297,6374.2247980671,6891.972972515
6901.1468249227,7281.7766046905,6915.1678388078
6815.6854729158,7212.3284113139,7407.3627051005
6756.2241209088,7159.8802179374,7391.5575713932
6685.7627689019,7111.4320245608,7411.752437686
6688.301416895,7066.9838311842,7414.9473039787
6665.840064888,7106.5356378076,7401.1421702715
6656.3787128811,7073.0874444311,7402.3370365642
6628.9173608741,7064.6392510545,7398.531902857
6622.4560088672,7073.1910576779,7455.7267691497
6662.9946568602,7091.7428643013,7459.9216354425
6682.5333048533,7106.2946709248,7467.1165017352
6685.0719528463,7149.8464775482,7602.3113680279
6689.6106008394,7336.3982841716,7590.5062343207
6773.1492488324,7553.950090795,7691.7011006134
6755.6878968255,7567.5018974184,7705.8959669062
6736.2265448186,7573.0537040419,7790.0908331989
6742.7651928116,7560.6055106653,8004.2856994917
6777.3038408047,7553.1573172887,8112.4805657844
6804.8424887977,7582.7091239121,8082.6754320772
6789.3811367908,7556.2609305356,8042.8702983699
6816.9197847838,7635.812737159,8129.0651646626
6877.4584327769,7610.3645437824,8105.2600309554
6933.9970807699,7707.9163504058,8056.4548972481
7036.535728763,8714.4681570293,8076.6497635409
7110.0743767561,8596.0199636527,8050.8446298336
7108.6130247491,8512.5717702761,8102.0394961264
7154.1516727422,8441.1235768995,8110.2343624191
7151.6903207352,8388.6753835229,8122.4292287119
7174.2289687283,8325.2271901464,8112.6240950046
7155.7676167213,8289.7789967698,8090.8189612973
7152.3062647144,8303.3308033932,8209.0138275901
7163.8449127074,8276.8826100166,8330.2086938828
7299.3835607005,8243.4344166401,8584.4035601756
7280.9222086935,8253.9862232635,8565.5984264683
7261.4608566866,8233.5380298869,9026.7932927611
7236.9995046797,8224.0898365103,8908.9881590538
7361.5381526727,8177.6416431338,8881.1830253465
7479.0768006658,8283.1934497572,8857.3778916393
7573.6154486588,8285.7452563806,8852.572757932
7595.1540966519,8256.297063004,8887.7676242248
7579.6927446449,9036.8488696274,8963.9624905175
7642.231392638,9023.4006762509,9013.1573568103
7649.770040631,8991.9524828743,8927.352223103
7794.3086886241,9007.5042894977,9437.5470893958
